Žužemberk;8360
Žirovnica;4274
Žiri;4226
Žetale;2287
Železniki;4228
Žalec;3310
Žabnica;4209
Zreče;3214
Zidani Most;1432
Zgornji Leskovec;2285
Zgornje Jezersko;4206
Zgornje Gorje;4247
Zgornja Velka;2213
Zgornja Polskava;2314
Zgornja Ložnica;2316
Zgornja Kungota;2201
Zgornja Korena;2242
Zgornja Besnica;4201
Zdole;8272
Zavrč;2283
Zagradec;1303
Zagorje ob Savi;1410
Zabukovje nad Sevnico;8292
Vuzenica;2367
Vuhred;2365
Vrhnika;1360
Vremski Britof;6217
Vransko;3305
Voličina;2232
Volčja Draga;5293
Vojnik;3212
Vodice;1217
Vitomarci;2255
Vitanje;3205
Višnja Gora;1294
Visoko;4212
Vir pri Domžalah;1232
Vipava;5271
Vinica;8344
Videm pri Ptuju;2284
Videm - Dobrepolje;1312
Veržej;9241
Veliki Gaber;8213
Velike Lašče;1315
Velika Polana;9225
Velika Nedelja;2274
Velika Loka;8212
Velenje;3320
Vas;1336
Vače;1252
Uršna sela;8323
Turnišče;9224
Turjak;1311
Tržišče;8295
Tržič;4290
Trzin;1236
Trojane;1222
Trnovska vas;2254
Trnovo, Ilirska Bistrica;6251
Trnovo pri Gorici;5252
Trebnje;8210
Trebelno;8231
Trbovlje;1420
Trbonje;2371
Topolšica;3326
Tolmin;5220
Tišina;9251
Teharje;3221
Tabor;3304
Štore;3220
Štanjel;6222
Šoštanj;3325
Šmartno v Rožni dolini;3201
Šmartno pri Slovenj Gradcu;2383
Šmartno pri Litiji;1275
Šmartno ob Paki;3327
Šmartno ob Dreti;3341
Šmartno na Pohorju;2315
Šmarješke Toplice;8220
Šmarje pri Jelšah;3240
Šmarje - Sap;1293
Šmarje;6274
Škofljica;1291
Škofja vas;3211
Škofja Loka;4220
Škofije;6281
Škocjan;8275
Šentvid pri Stični;1296
Šentvid pri Ljubljani;1210
Šentrupert pri Laškem;3271
Šentrupert na Dolenjskem;8232
Šentjur;3230
Šentjernej;8310
Šentjanž pri Dravogradu;2373
Šentjanž;8297
Šentilj v Slovenskih goricah;2212
Šenčur;4208
Šempeter v Savinjski dolini;3311
Šempeter pri Gorici;5290
Šempas;5261
Šalovci;9204
Sveti Tomaž;2258
Sveti Štefan;3264
Sv. Trojica v Slovenskih goricah;2235
Sv. Jurij ob Ščavnici;9244
Sv. Duh na Ostrem Vrhu;2353
Sv. Ana v Slovenskih goricah;2233
Suhor;8331
Studenec;8293
Strunjan/Strugnano;6323
Struge;1313
Straža;8351
Stranice;3206
Stopiče;8322
Stoperce;2289
Starše;2205
Stari trg pri Ložu;1386
Stari trg ob Kolpi;8342
Stara Cerkev;1332
Stahovica;1242
Srpenica;5224
Sromlje;8256
Srednja vas v Bohinju;4267
Središče ob Dravi;2277
Spodnji Ivanjci;9245
Spodnji Duplek;2241
Spodnja Idrija;5281
Sovodenj;4225
Sorica;4229
Solkan;5250
Solčava;3335
Sodražica;1317
Soča;5232
Smlednik;1216
Slovenske Konjice;3210
Slovenska Bistrica;2310
Slovenj Gradec;2380
Slap ob Idrijci;5283
Sladki Vrh;2214
Sežana;6210
Sevnica;8290
Senožeče;6224
Senovo;8281
Semič;8333
Selnica ob Dravi;2352
Selca;4227
Sečovlje/Sicciole;6333
Sava;1282
Ruše;2342
Rovte;1373
Rogatec;3252
Rogašovci;9262
Rogaška Slatina;3250
Ročinj;5215
Rob;1314
Rimske Toplice;3272
Ribnica na Pohorju;2364
Ribnica;1310
Renče;5292
Rečica ob Savinji;3332
Razkrižje;9246
Ravne na Koroškem;2390
Rateče - Planica;4283
Rakek;1381
Raka;8274
Radovljica;4240
Radomlje;1235
Radlje ob Dravi;2360
Radenci;9252
Radeče;1433
Rače;2327
Puconci;9201
Ptujska Gora;2323
Ptuj - Breg (Četrtna skupnost Breg-Turnišče);2251
Ptuj;2250
Prvačina;5297
Prosenjakovci/Partosfalva;9207
Pristava pri Mestinju;3253
Primskovo;1276
Prevorje;3262
Prevalje;2391
Prestranek;6258
Preserje;1352
Prem;6255
Preddvor;4205
Prebold;3312
Pragersko;2331
Postojna;6230
Portorož/Portorose;6320
Ponikva;3232
Polzela;3313
Polšnik;1272
Poljčane;2319
Poljane nad Škofjo Loko;4223
